#	Fix	print				
7300	5442.821316	1.40E+11	0.0023612	0.217930693	0.267930693	0.267930693
7400	5443.070553	1.42E+11	0.0024071	0.222221706	0.272221706	0.272221706
7500	5443.3035	1.45E+11	0.00245	0.226510748	0.276510748	0.276510748
7600	5443.3035	1.48E+11	0.00245	0.230761628	0.280761628	0.280761628
7700	5443.551108	1.50E+11	0.0024956	0.235001261	0.285001261	0.285001261
7800	5443.785684	1.53E+11	0.0025388	0.239295847	0.289295847	0.289295847
7900	5443.785684	1.56E+11	0.0025388	0.243588677	0.293588677	0.293588677
8000	5444.008857	1.59E+11	0.0025799	0.247751124	0.297751124	0.297751124
8100	5444.223885	1.61E+11	0.0026195	0.251274099	0.301274099	0.301274099
8200	5444.414478	1.61E+11	0.0026546	0.251457552	0.301457552	0.301457552
8300	5444.582265	1.61E+11	0.0026855	0.251918903	0.301918903	0.301918903
8400	5444.73702	1.62E+11	0.002714	0.252554628	0.302554628	0.302554628
8500	5444.89992	1.62E+11	0.002744	0.253366781	0.303366781	0.303366781
8600	5445.067707	1.63E+11	0.0027749	0.254300074	0.304300074	0.304300074
8700	5445.237123	1.64E+11	0.0028061	0.255309707	0.305309707	0.305309707
8800	5445.398394	1.64E+11	0.0028358	0.256428045	0.306428045	0.306428045
8900	5445.55152	1.65E+11	0.002864	0.257614329	0.307614329	0.307614329
9000	5445.703017	1.66E+11	0.0028919	0.258904571	0.308904571	0.308904571
9100	5445.859401	1.67E+11	0.0029207	0.260268598	0.310268598	0.310268598
9200	5446.020672	1.68E+11	0.0029504	0.261750817	0.311750817	0.311750817
9300	5446.185201	1.69E+11	0.0029807	0.263338407	0.313338407	0.313338407
9400	5446.361133	1.70E+11	0.0030131	0.265093121	0.315093121	0.315093121
9500	5446.543581	1.71E+11	0.0030467	0.267008208	0.317008208	0.317008208
9600	5446.7244	1.72E+11	0.00308	0.269135168	0.319135168	0.319135168
9700	5446.7244	1.74E+11	0.00308	0.271531434	0.321531434	0.321531434
9800	5446.911735	1.76E+11	0.0031145	0.2742242	0.3242242	0.3242242
9900	5447.118618	1.78E+11	0.0031526	0.277214776	0.327214776	0.327214776
10000	5447.348307	1.80E+11	0.0031949	0.280434117	0.330434117	0.330434117
10100	5447.348307	1.82E+11	0.0031949	0.283837819	0.333837819	0.333837819
10200	5447.581254	1.84E+11	0.0032378	0.287139155	0.337139155	0.337139155
10300	5447.806056	1.86E+11	0.0032792	0.29048184	0.34048184	0.34048184
10400	5447.806056	1.88E+11	0.0032792	0.29351616	0.34351616	0.34351616
10500	5448.032487	1.90E+11	0.0033209	0.29639689	0.34639689	0.34639689
10600	5448.247515	1.92E+11	0.0033605	0.299483024	0.349483024	0.349483024
10700	5448.452769	1.94E+11	0.0033983	0.302594184	0.352594184	0.352594184
10800	5448.641733	1.96E+11	0.0034331	0.306102448	0.356102448	0.356102448
10900	5448.641733	2.00E+11	0.0034331	0.312389342	0.362389342	0.362389342
11000	5448.869793	2.04E+11	0.0034751	0.318212445	0.368212445	0.368212445
11100	5449.105998	2.07E+11	0.0035186	0.323713337	0.373713337	0.373713337
11200	5449.105998	2.11E+11	0.0035186	0.328927764	0.378927764	0.378927764
11300	5449.374783	2.14E+11	0.0035681	0.333886149	0.383886149	0.383886149
11400	5449.597956	2.17E+11	0.0036092	0.338674427	0.388674427	0.388674427
11500	5449.788549	2.20E+11	0.0036443	0.343172624	0.393172624	0.393172624
11600	5449.788549	2.22E+11	0.0036443	0.347424961	0.397424961	0.397424961
