# Time-averaged data for fix 6
# TimeStep v_strain_y v_virial_stress_yy
21300 0.0002 -0.019685
21400 0.0002 -0.0195718
21500 0.0002 -0.0194569
21600 0.0002 -0.0193489
21700 0.0002 -0.0192382
21800 0.0002 -0.0191328
21900 0.0002 -0.0190375
22000 0.0002 -0.0189759
22100 0.0002 -0.0189926
22200 0.0002 -0.0190997
22300 0.0002 -0.0192489
22400 0.0002 -0.0193491
22500 0.0002 -0.0194115
22600 0.0002 -0.0195162
22700 0.0002 -0.0196111
22800 0.0002 -0.0196735
22900 0.0002 -0.0197616
23000 0.0002 -0.0198303
23100 0.0002 -0.0199093
23200 0.0002 -0.0199775
23300 0.0002 -0.0200439
23400 0.0002 -0.0201115
23500 0.0002 -0.0201749
23600 0.0002 -0.0202401
23700 0.0002 -0.0203075
23800 0.0002 -0.0203665
23900 0.0002 -0.0204252
24000 0.0002 -0.0204756
24100 0.0002 -0.0205295
24200 0.0002 -0.0205818
24300 0.0002 -0.0206317
24400 0.0002 -0.0206827
24500 0.0002 -0.0207264
24600 0.0002 -0.0207695
24700 0.0002 -0.0208106
24800 0.0002 -0.0208514
24900 0.0002 -0.0208872
25000 0.0002 -0.0209245
25100 0.0002 -0.0209652
25200 0.0002 -0.0210002
25300 0.0002 -0.0210298
25400 0.0002 -0.0210623
25500 0.0002 -0.0211
25600 0.0002 -0.0211367
25700 0.0002 -0.0211712
25800 0.0002 -0.0212049
25900 0.0002 -0.0212366
26000 0.0002 -0.0212708
26100 0.0002 -0.0213057
26200 0.0002 -0.0213382
26300 0.0002 -0.0213672
26400 0.0002 -0.0213991
26500 0.0002 -0.0214303
26600 0.0002 -0.0214589
26700 0.0002 -0.0214926
26800 0.0002 -0.0215209
26900 0.0002 -0.0215498
27000 0.0002 -0.0215752
27100 0.0002 -0.021603
27200 0.0002 -0.0216392
27300 0.0002 -0.021669
27400 0.0002 -0.0216956
27500 0.0002 -0.0217255
27600 0.0002 -0.0217595
27700 0.0002 -0.0217866
27800 0.0002 -0.021816
27900 0.0002 -0.0218504
28000 0.0002 -0.021882
28100 0.0002 -0.0219148
28200 0.0002 -0.0219487
28300 0.0002 -0.0219829
28400 0.0002 -0.0220115
28500 0.0002 -0.0220478
28600 0.0002 -0.0220826
28700 0.0002 -0.0221169
28800 0.0002 -0.0221468
28900 0.0002 -0.0221751
29000 0.0002 -0.0222057
29100 0.0002 -0.0222327
29200 0.0002 -0.0222629
29300 0.0002 -0.0222885
29400 0.0002 -0.0223121
29500 0.0002 -0.0223341
29600 0.0002 -0.0223552
29700 0.0002 -0.0223708
29800 0.0002 -0.0223801
29900 0.0002 -0.0223991
30000 0.0002 -0.0224131
30100 0.0002 -0.0224185
30200 0.0002 -0.022428
30300 0.0002 -0.0224318
30400 0.0002 -0.0224346
30500 0.0002 -0.0224394
30600 0.0002 -0.0224377
30700 0.0002 -0.022432
30800 0.0002 -0.0224256
30900 0.0002 -0.0224181
31000 0.0002 -0.0224037
31100 0.0002 -0.022391
31200 0.0002 -0.0223757
31300 0.0002 -0.0223579
31400 0.0002 -0.0223401
31500 0.0002 -0.0223196
31600 0.0002 -0.0223009
31700 0.0002 -0.0222835
31800 0.0002 -0.0222642
31900 0.0002 -0.0222526
32000 0.0002 -0.0222738
32100 0.0002 -0.0223696
32200 0.0002 -0.0225553
32300 0.0002 -0.0227888
32400 0.0002 -0.0229781
32500 0.0002 -0.0231238
32600 0.0002 -0.0233058
32700 0.0002 -0.0234856
32800 0.0002 -0.0236347
32900 0.0002 -0.0238147
33000 0.0002 -0.023971
33100 0.0002 -0.0241373
33200 0.0002 -0.0243008
33300 0.0002 -0.0244578
33400 0.0002 -0.0246166
33500 0.0002 -0.0247708
33600 0.0002 -0.0249273
33700 0.0002 -0.025085
33800 0.0002 -0.0252432
33900 0.0002 -0.0254047
34000 0.0002 -0.0255542
34100 0.0002 -0.025714
34200 0.0002 -0.0258663
34300 0.0002 -0.026015
34400 0.0002 -0.0261687
34500 0.0002 -0.026315
34600 0.0002 -0.0264597
34700 0.0002 -0.0266078
34800 0.0002 -0.026756
34900 0.0002 -0.0269034
35000 0.0002 -0.027053
